model_order,model_label,modality,seed,strategy_order,strategy,strategy_label,coverage_type,description,coverage_n,coverage_rate,source_pair_support,source_non_pair_support,pred_context_count,pred_context_rate,f1,precision,recall,accuracy,delta_f1_vs_original,tp,fp,fn,tn,binary_run,three_class_run
4,RC-Fusion,T+V,123,0,original_binary_trained,Original binary trained,full,model trained and evaluated on original source-binary labels,18264,1.0,1832,16432,0,0.0,0.37303735787763936,0.37003222341568204,0.37609170305676853,0.8731931668856767,0.0,689,1173,1143,15259,RC-Fusion_source_binary_seed123,
4,RC-Fusion,T+V,123,1,drop_context,Drop context,partial,exclude predicted emo-context rows; pair iff predicted emo-cause,16239,0.889126149802891,1582,14657,2025,0.11087385019710906,0.41383095499451156,0.36566440349175555,0.47661188369152974,0.8684648069462405,0.04079359711687219,754,1308,828,13349,RC-Fusion_source_binary_seed123,RC-Fusion_seed123
4,RC-Fusion,T+V,123,2,context_to_positive,Context -> pair,full,pair iff predicted emo-cause or emo-context,18264,1.0,1832,16432,2025,0.11087385019710906,0.33924649434026016,0.24565696109615856,0.5480349344978166,0.7858628996933859,-0.0337908635373792,1004,3083,828,13349,RC-Fusion_source_binary_seed123,RC-Fusion_seed123
4,RC-Fusion,T+V,123,3,context_to_negative,Context -> non-pair,full,pair iff predicted emo-cause,18264,1.0,1832,16432,2025,0.11087385019710906,0.3872624550590652,0.36566440349175555,0.4115720524017467,0.8693604905825668,0.014225097181425839,754,1308,1078,15124,RC-Fusion_source_binary_seed123,RC-Fusion_seed123
4,RC-Fusion,T+V,456,0,original_binary_trained,Original binary trained,full,model trained and evaluated on original source-binary labels,18264,1.0,1832,16432,0,0.0,0.3668044890726521,0.3996138996138996,0.33897379912663755,0.8826106000876041,0.0,621,933,1211,15499,RC-Fusion_source_binary_seed456,
4,RC-Fusion,T+V,456,1,drop_context,Drop context,partial,exclude predicted emo-context rows; pair iff predicted emo-cause,17137,0.9382939115199299,1634,15503,1127,0.06170608848007008,0.42140266021765416,0.4163679808841099,0.4265605875152999,0.8883118398786252,0.05459817114500204,697,977,937,14526,RC-Fusion_source_binary_seed456,RC-Fusion_seed456
4,RC-Fusion,T+V,456,2,context_to_positive,Context -> pair,full,pair iff predicted emo-cause or emo-context,18264,1.0,1832,16432,1127,0.06170608848007008,0.3863587308439456,0.31952873973580864,0.4885371179039301,0.8443385895751204,0.0195542417712935,895,1906,937,14526,RC-Fusion_source_binary_seed456,RC-Fusion_seed456
4,RC-Fusion,T+V,456,3,context_to_negative,Context -> non-pair,full,pair iff predicted emo-cause,18264,1.0,1832,16432,1127,0.06170608848007008,0.3976041072447233,0.4163679808841099,0.3804585152838428,0.8843626806833115,0.030799618172071164,697,977,1135,15455,RC-Fusion_source_binary_seed456,RC-Fusion_seed456
5,RWC-Fusion,T+A+V,42,0,original_binary_trained,Original binary trained,full,model trained and evaluated on original source-binary labels,18264,1.0,1832,16432,0,0.0,0.3767615760713259,0.3981762917933131,0.35753275109170307,0.8813512921594393,0.0,655,990,1177,15442,RWC-Fusion_source_binary_seed42,
5,RWC-Fusion,T+A+V,42,1,drop_context,Drop context,partial,exclude predicted emo-context rows; pair iff predicted emo-cause,16463,0.9013907139728428,1590,14873,1801,0.09860928602715725,0.43820224719101125,0.4135044642857143,0.4660377358490566,0.8845896859624612,0.061440671119685375,741,1051,849,13822,RWC-Fusion_source_binary_seed42,RWC-Fusion_seed42
5,RWC-Fusion,T+A+V,42,2,context_to_positive,Context -> pair,full,pair iff predicted emo-cause or emo-context,18264,1.0,1832,16432,1801,0.09860928602715725,0.3623963133640553,0.27358753131088226,0.5365720524017468,0.8106110381077529,-0.014365262707270565,983,2610,849,13822,RWC-Fusion_source_binary_seed42,RWC-Fusion_seed42
5,RWC-Fusion,T+A+V,42,3,context_to_negative,Context -> non-pair,full,pair iff predicted emo-cause,18264,1.0,1832,16432,1801,0.09860928602715725,0.40894039735099336,0.4135044642857143,0.4044759825327511,0.8827201051248358,0.03217882127966748,741,1051,1091,15381,RWC-Fusion_source_binary_seed42,RWC-Fusion_seed42
5,RWC-Fusion,T+A+V,123,0,original_binary_trained,Original binary trained,full,model trained and evaluated on original source-binary labels,18264,1.0,1832,16432,0,0.0,0.37308719941705126,0.3361050328227571,0.4192139737991266,0.8586837494524748,0.0,768,1517,1064,14915,RWC-Fusion_source_binary_seed123,
5,RWC-Fusion,T+A+V,123,1,drop_context,Drop context,partial,exclude predicted emo-context rows; pair iff predicted emo-cause,16865,0.923401226456417,1652,15213,1399,0.07659877354358301,0.4134980988593156,0.3403755868544601,0.5266343825665859,0.85366142899496,0.040410899442264336,870,1686,782,13527,RWC-Fusion_source_binary_seed123,RWC-Fusion_seed123
5,RWC-Fusion,T+A+V,123,2,context_to_positive,Context -> pair,full,pair iff predicted emo-cause or emo-context,18264,1.0,1832,16432,1399,0.07659877354358301,0.3628823224468637,0.26548672566371684,0.5731441048034934,0.7981274638633377,-0.01020487697018757,1050,2905,782,13527,RWC-Fusion_source_binary_seed123,RWC-Fusion_seed123
5,RWC-Fusion,T+A+V,123,3,context_to_negative,Context -> non-pair,full,pair iff predicted emo-cause,18264,1.0,1832,16432,1399,0.07659877354358301,0.39653600729261623,0.3403755868544601,0.47489082969432317,0.8550153307052124,0.02344880787556497,870,1686,962,14746,RWC-Fusion_source_binary_seed123,RWC-Fusion_seed123
5,RWC-Fusion,T+A+V,456,0,original_binary_trained,Original binary trained,full,model trained and evaluated on original source-binary labels,18264,1.0,1832,16432,0,0.0,0.37837837837837834,0.4045991298943443,0.35534934497816595,0.8828843626806833,0.0,651,958,1181,15474,RWC-Fusion_source_binary_seed456,
5,RWC-Fusion,T+A+V,456,1,drop_context,Drop context,partial,exclude predicted emo-context rows; pair iff predicted emo-cause,16936,0.9272886552781427,1651,15285,1328,0.07271134472185721,0.4074074074074074,0.3746822572445348,0.4463961235614779,0.8734057628719887,0.02902902902902904,737,1230,914,14055,RWC-Fusion_source_binary_seed456,RWC-Fusion_seed456
5,RWC-Fusion,T+A+V,456,2,context_to_positive,Context -> pair,full,pair iff predicted emo-cause or emo-context,18264,1.0,1832,16432,1328,0.07271134472185721,0.3581041544763019,0.2786039453717754,0.5010917030567685,0.8198094612352168,-0.02027422390207645,918,2377,914,14055,RWC-Fusion_source_binary_seed456,RWC-Fusion_seed456
5,RWC-Fusion,T+A+V,456,3,context_to_negative,Context -> non-pair,full,pair iff predicted emo-cause,18264,1.0,1832,16432,1328,0.07271134472185721,0.38799684127401945,0.3746822572445348,0.40229257641921395,0.8727003942181341,0.009618462895641111,737,1230,1095,15202,RWC-Fusion_source_binary_seed456,RWC-Fusion_seed456
