dist_bucket,emo_cause,emo_context,non_pair,context_n,context_position,model_source,seeds
0,0.8561162649177857,,0.21371363709426217,,,RWC-Fusion,"42,123,456"
1,0.5069190067548551,0.10094676340375906,0.0619076723675309,341.0,0.08772606003389959,RWC-Fusion,"42,123,456"
2,0.49590587640785594,0.1370080476435402,0.050138389980596144,1034.0,0.19487661237742473,RWC-Fusion,"42,123,456"
3,0.48432203716877714,0.14205300546432867,0.04884291957971973,876.0,0.21404031127978726,RWC-Fusion,"42,123,456"
4-5,0.5036782374166137,0.12747893432573976,0.03889064235369802,1116.0,0.19059951881902107,RWC-Fusion,"42,123,456"
6-10,0.4325703681119498,0.14607570044835,0.03431480049195556,733.0,0.2806260829554402,RWC-Fusion,"42,123,456"
>10,0.4030325842817669,0.12550703753379824,0.030305363287528662,246.0,0.2554191614777211,RWC-Fusion,"42,123,456"
