run_name,family,model_family,modality,seed,gold,pred,count,rate_within_gold
hilo_ta_seed123,hilo_ta,hilo,ta,123,non_pair,emo_cause,1158,0.07484004394752149
hilo_ta_seed123,hilo_ta,hilo,ta,123,non_pair,emo_context,860,0.05558068894202805
hilo_ta_seed123,hilo_ta,hilo,ta,123,non_pair,non_pair,13455,0.8695792671104504
hilo_ta_seed42,hilo_ta,hilo,ta,42,emo_cause,emo_cause,1082,0.6119909502262444
hilo_ta_seed42,hilo_ta,hilo,ta,42,emo_cause,emo_context,163,0.09219457013574661
hilo_ta_seed42,hilo_ta,hilo,ta,42,emo_cause,non_pair,523,0.29581447963800905
hilo_ta_seed42,hilo_ta,hilo,ta,42,emo_context,emo_cause,171,0.17325227963525835
hilo_ta_seed42,hilo_ta,hilo,ta,42,emo_context,emo_context,267,0.270516717325228
hilo_ta_seed42,hilo_ta,hilo,ta,42,emo_context,non_pair,549,0.5562310030395137
hilo_ta_seed42,hilo_ta,hilo,ta,42,non_pair,emo_cause,1177,0.07606798940089188
hilo_ta_seed42,hilo_ta,hilo,ta,42,non_pair,emo_context,1044,0.06747237122729917
hilo_ta_seed42,hilo_ta,hilo,ta,42,non_pair,non_pair,13252,0.8564596393718089
hilo_ta_seed456,hilo_ta,hilo,ta,456,emo_cause,emo_cause,925,0.5231900452488688
hilo_ta_seed456,hilo_ta,hilo,ta,456,emo_cause,emo_context,166,0.09389140271493213
hilo_ta_seed456,hilo_ta,hilo,ta,456,emo_cause,non_pair,677,0.3829185520361991
hilo_ta_seed456,hilo_ta,hilo,ta,456,emo_context,emo_cause,104,0.10536980749746708
hilo_ta_seed456,hilo_ta,hilo,ta,456,emo_context,emo_context,150,0.1519756838905775
hilo_ta_seed456,hilo_ta,hilo,ta,456,emo_context,non_pair,733,0.7426545086119554
hilo_ta_seed456,hilo_ta,hilo,ta,456,non_pair,emo_cause,785,0.050733535836618625
hilo_ta_seed456,hilo_ta,hilo,ta,456,non_pair,emo_context,615,0.03974665546435727
hilo_ta_seed456,hilo_ta,hilo,ta,456,non_pair,non_pair,14073,0.9095198086990242
hilo_tav_seed123,hilo_tav,hilo,tav,123,emo_cause,emo_cause,930,0.5260180995475113
hilo_tav_seed123,hilo_tav,hilo,tav,123,emo_cause,emo_context,198,0.11199095022624435
hilo_tav_seed123,hilo_tav,hilo,tav,123,emo_cause,non_pair,640,0.36199095022624433
hilo_tav_seed123,hilo_tav,hilo,tav,123,emo_context,emo_cause,134,0.13576494427558258
hilo_tav_seed123,hilo_tav,hilo,tav,123,emo_context,emo_context,245,0.24822695035460993
hilo_tav_seed123,hilo_tav,hilo,tav,123,emo_context,non_pair,608,0.6160081053698075
