family,binary_ctx_pair_rate,binary_cause_pair_rate,binary_nonpair_pair_rate,binary_ctx_position,three_ctx_hit,three_ctx_to_nonpair,three_ctx_to_cause,binary_prob_ctx_position,three_context_prob_lift_over_nonpair,three_context_delta_lift_over_nonpair
CLIP,0.3553995319291206,0.3771832032701598,0.3435015834033477,0.3532475151973451,0.0775660314276161,0.5275827482447341,0.3948512203276496,0.4470889430373303,1.0137978319562142,1.0128149541031914
RoBERTa,0.0732196589769307,0.3851727982162765,0.0627544755380339,0.0324584017185043,0.1825476429287863,0.728184553660983,0.0892678034102306,0.0623907216168737,2.1154269244984496,2.71004690556918
RC-Fusion,0.0912738214643931,0.3872166480862133,0.064003963894095,0.0843712481100797,0.2133065864259444,0.702440655299231,0.0842527582748244,0.0990714684549475,1.9435422014677843,2.8130057333853964
RW-Fusion,0.0695419592109661,0.3821999256781865,0.0607078997824166,0.0274783158429366,0.1939150785690404,0.7134737545971248,0.0926111668338348,0.0801128115518408,2.148989380354054,2.4710360145281256
RWC-Fusion,0.085590103644266,0.3905611296915645,0.0662444257739287,0.059650574998599,0.2133065864259444,0.6914075560013373,0.0952858575727181,0.0938641282401644,1.900099785395503,2.933061705467572
WavLM,0.1120026746907388,0.2670011148272017,0.0600616127016953,0.2509963610405411,0.0200601805416248,0.8492143095954531,0.130725509862922,0.3909907572087285,1.3513034660952827,0.8665997614458104
