source,stress_subset,subset_label,case_type,selection,description,family,runs,n_mean,n_std,prob_pair_mean,prob_pair_std,pred_pair_rate_mean,pred_pair_rate_std,mean_distance_mean,mean_distance_std,mean_lexical_overlap_mean,mean_lexical_overlap_std
binary,local_lexical_non_pair,Local lexical non-pair,shortcut_supported_unsupported,final_gold == non_pair; distance <= 1; lexical_overlap > 0,Local/lexically overlapping candidates that remain final non-pairs.,RoBERTa,3,1489.0,0.0,0.3023484785490043,0.040960378579778,0.2896798746362212,0.0348344011268503,0.2592343854936199,0.0,0.7759841266151614,0.0
binary,local_lexical_non_pair,Local lexical non-pair,shortcut_supported_unsupported,final_gold == non_pair; distance <= 1; lexical_overlap > 0,Local/lexically overlapping candidates that remain final non-pairs.,RC-Fusion,3,1489.0,0.0,0.3018069903804147,0.012476990592516,0.2894560107454667,0.025731691149319,0.2592343854936199,0.0,0.7759841266151614,0.0
binary,local_lexical_non_pair,Local lexical non-pair,shortcut_supported_unsupported,final_gold == non_pair; distance <= 1; lexical_overlap > 0,Local/lexically overlapping candidates that remain final non-pairs.,RW-Fusion,3,1489.0,0.0,0.2916634179927474,0.0175472928893317,0.2829639579135885,0.0144872976828864,0.2592343854936199,0.0,0.7759841266151614,0.0
binary,local_lexical_non_pair,Local lexical non-pair,shortcut_supported_unsupported,final_gold == non_pair; distance <= 1; lexical_overlap > 0,Local/lexically overlapping candidates that remain final non-pairs.,RWC-Fusion,3,1489.0,0.0,0.2999298368775062,0.0233708679855632,0.2937094246698008,0.024779214868183,0.2592343854936199,0.0,0.7759841266151614,0.0
binary,long_distance_emo_cause,Long-distance cause,evidence_supported_shortcut_conflict,final_gold == emo_cause; distance >= 6,Direct causes whose distance conflicts with locality shortcuts.,RoBERTa,3,92.0,0.0,0.1386702222356478,0.0332359388206211,0.1159420289855072,0.0166035351266515,9.554347826086955,0.0,0.0656658704774509,0.0
binary,long_distance_emo_cause,Long-distance cause,evidence_supported_shortcut_conflict,final_gold == emo_cause; distance >= 6,Direct causes whose distance conflicts with locality shortcuts.,RC-Fusion,3,92.0,0.0,0.1426760965597181,0.0275550339054522,0.1159420289855072,0.0273544725915606,9.554347826086955,0.0,0.0656658704774509,0.0
binary,long_distance_emo_cause,Long-distance cause,evidence_supported_shortcut_conflict,final_gold == emo_cause; distance >= 6,Direct causes whose distance conflicts with locality shortcuts.,RW-Fusion,3,92.0,0.0,0.1469486812607298,0.0196733311953666,0.1050724637681159,0.0166035351266515,9.554347826086955,0.0,0.0656658704774509,0.0
binary,long_distance_emo_cause,Long-distance cause,evidence_supported_shortcut_conflict,final_gold == emo_cause; distance >= 6,Direct causes whose distance conflicts with locality shortcuts.,RWC-Fusion,3,92.0,0.0,0.1468888712133511,0.0368280269652847,0.1159420289855072,0.0411515097521758,9.554347826086955,0.0,0.0656658704774509,0.0
binary,source_nonpair_emo_context,Original-negative context,evidence_supported_shortcut_conflict,source_binary_gold == non_pair; final_gold == emo_context,Contextual support inherited from the original negative side.,RoBERTa,3,854.0,0.0,0.1054251388058496,0.0365278186081815,0.0753317720530835,0.0112517840010925,4.494145199063232,0.0,0.0651556467305886,0.0
binary,source_nonpair_emo_context,Original-negative context,evidence_supported_shortcut_conflict,source_binary_gold == non_pair; final_gold == emo_context,Contextual support inherited from the original negative side.,RC-Fusion,3,854.0,0.0,0.1170720043031434,0.0111437806522864,0.0936768149882904,0.0225846622037305,4.494145199063232,0.0,0.0651556467305886,0.0
binary,source_nonpair_emo_context,Original-negative context,evidence_supported_shortcut_conflict,source_binary_gold == non_pair; final_gold == emo_context,Contextual support inherited from the original negative side.,RW-Fusion,3,854.0,0.0,0.1153442792832397,0.0185205926650219,0.0722092115534738,0.0158980576537207,4.494145199063232,0.0,0.0651556467305886,0.0
binary,source_nonpair_emo_context,Original-negative context,evidence_supported_shortcut_conflict,source_binary_gold == non_pair; final_gold == emo_context,Contextual support inherited from the original negative side.,RWC-Fusion,3,854.0,0.0,0.1188305324253828,0.0236775593227686,0.0866510538641686,0.0163934426229508,4.494145199063232,0.0,0.0651556467305886,0.0
