dist_bucket,emo_cause,emo_context,non_pair,context_n,model_source,seeds
0,0.009320892924248812,,0.017043904445857596,,RWC-Fusion,"42,123,456"
1,0.18086821560290692,0.16383427214246327,0.13717188373502376,81.0,RWC-Fusion,"42,123,456"
2,0.2502057536941236,0.2422023631878157,0.155327539046074,203.0,RWC-Fusion,"42,123,456"
3,0.22780568717569377,0.26226810570840187,0.13371707751273787,183.0,RWC-Fusion,"42,123,456"
4-5,0.21727219484237362,0.24863117727242035,0.13826904998539094,293.0,RWC-Fusion,"42,123,456"
6-10,0.19610498578215668,0.23635279272620552,0.1328282703307621,194.0,RWC-Fusion,"42,123,456"
>10,0.2906587164343139,0.30254989455259124,0.13519037236371234,43.0,RWC-Fusion,"42,123,456"
